short_question,short_answer
can my girlfriend get pregnant from pre cum  i jacked off twice in the morning and ejaculated both times doing so the urinated i went to my girlfriends house around 12 and we had sex with a condom for a little then without for a little i never ejaculated but i may have pre ejaculated the next day around 1 i gave her plan b l i was wondering how are my chances she gets pregnant i know the human body can normally ejaculate twice a day and was wondering if that lowers my chances since i did it twice that day already thank you,yes your girlfriend can get pregnant from precum that is why you always use a condom in this case your girlfriend is probably not pregnant because she took the plan b pill in timely fashion and precum also has lower concentrations of semen than regular ejaculation if you are going to have unprotected sex be sure to always use some sort of birth control
how does stress affect fertility,not connected scoliosis does cause blood in the sputum but it would be in your friend is best interest to see a medical provider to have a proper examination to find the sourcecause of this blood
can a bartholin cyst turn into cancer  i no it is a bartholin cyst which was supposed to be drained 20 years ago it only recently started to hurt and changed shape it is about the size of a walnut,infants are not protected against oral herpes anytime whether they are breast fed or not while the mother does impart wonderful immunity to the infants through the maternal blood supply and breast milk it is not a sure thing that this immune response fully protects an infant from herpes or any other infectious disease
help i think i may have herpes i have alot of the symptoms im so frightened i am only sixteen i know evey person i have ever had sexual contact with but i have no idea who it could be or how i could have gotten it i have fever chillsconstant head aches groin pian itching in my vaginal area pain little hard tiny blisters on the outside of my vagina and analits very painful down there and right now please help me,prostate cancer affects mainly older men four out of five cases are diagnosed in men over 65 but less than 1 in men under 50 though rare prostate cancer can be seen in men even in their 30 is and 40 is men with a family history of prostate cancer are more likely to die of it than is the general population on a case by case basis doctors cannot say with certainty what causes prostate cancer but experts generally agree that diet contributes to the risk men who consume large amounts of fat    particularly from red meat and other sources of animal fat    are most likely to develop advanced prostate cancer the disease is much more common in countries where meat and dairy products are dietary staples than in countries where the basic diet consists of rice soybean products and vegetables the underlying factor linking diet and prostate cancer is probably hormonal fats stimulate increased production of testosterone and other hormones and testosterone acts to speed the growth of prostate cancer high testosterone levels may stimulate dormant prostate cancer cells into activity some findings suggest that high testosterone levels also influence the initial onset of prostate cancer eating meat may be risky for other reasons meat cooked at high temperatures produces cancer causing substances that directly affect the prostate a few other risk factors have been noted welders battery manufacturers rubber workers and workers frequently exposed to the metal cadmium seem to be abnormally vulnerable to prostate cancer other risk factors include low physical activity and smoking researchers know more about what will not cause prostate cancer than what will no proven link exists between prostate cancer and an active sex life vasectomy masturbation use of alcohol or tobacco circumcision infertility infection of the prostate or a common noncancerous condition called benign prostatic hyperplasia bph that causes an enlarged prostate gland most elderly men experience an enlarged prostate to some degree drugs that may reduce the risk of prostate cancer include the use of aspirin finasteride statins and other cholesterol and triglyceride lowering anti inflammatory drugs adding certain foods in your diet may also help reduce the risk including tomato sauce broccoli cauliflower cole slaw and sauerkraut
i always feel tired when wake up in the morning my eyes feel like a lead,hi your symptoms refers to a problem with your thyroid but if you have repeatedly done the test with normal values hence it can be just due to anxiety which often causes similar symptoms… i recommend redoing the test and starting some type of yoga meditation exercise
what can happen by giving a 4 year old child albuterol because she coughs and is not prescribed to this medication my son yes who is 3 years old does from time to time have to use albuterol and is also on pulmicort because of bronchial tube infection when was an infant and done through nebulizer treatments my daughter who is 4 years old come to me begging for a puff of albuterol because she had a chest cold with a little cough here and there but nothing bad at all my ex wife is playing dr and giving her the albuterol for a simple cough and is definitely not been prescribed to her by the pediatrician help,hi just take a break for a week to 10 days your pain will go faster that way why your bike riding and doing other exercise your putting strain on it just take the break your body wont mind when you start back start slow with the exercises and the bike riding if you still have pain take a few more days off its a tricky area to heal but keep off the pain killers if you go back for exercise they will mask the real pain you could end up with more damage and be off longer hope this helps good luck
what causes a dropped tip after a nose job,sometimes patients are disappointed after rhinoplasty or nose surgery because various changes can evolve negatively in the postoperative period one of the more common effects is the so called “dropped tip ” here is what that means initially when seen from the side the profile view the tip sits at a desirable level in relation to the rest of the nose is profile but with time the tip actually settles down drops and gives a round or convex appearance to the front half of the profile it may look like a new bump has formed there are several reasons why this happens in most cases such a drop is predictable — and preventable the first reason is that the surgeon fails to allow for an anticipated drop and therefore incorrectly sets the tip position in reference to the rest of the nasal profile including the bridge it is well known among experienced nasal surgeons that there will always be some downward contraction of the tip owing to the fact that their incisions tend to contract the natural downward pull of gravity and contractile forces from those incisions will tend to make the tip drop the surgeon must anticipate that during the planning of your operation and during its execution the second common reason for the tip dropping is that there is not enough strength in the remaining tip cartilage to maintain its position if the surgeon fails to recognize that the tip cartilage is weak and will not hold its posture after part of it has been removed to narrow the lower half of the nose then such a dropped tip will occur and the profile will be imperfect an assessment of the prospects of that happening should take place at the consultation as the surgeon feels the strength of the nasal cartilages and makes an estimate as to what percentage of the strength can be maintained after a portion of the cartilage is removed here is the analogy in architecture and construction if you weaken a load bearing support wall too much the roof will sag or come tumbling down reason number three for the “dropped tip” is that in fact the tip does not drop but the tissue of the nose above the tip rises up and makes it look like the tip has dropped this is generally due to the surgeon is failure to anticipate the contraction and tightening that will certainly take place during healing as swelling diminishes and the tissues begin to weld together an upward elevation of the cartilages in the midportion of the nose can occur these “upper lateral” cartilages automatically and naturally migrate toward the middle and if they had not been trimmed enough in anticipation of this migration then they tend to rise above the anticipated profile level thus a profile convexity occurs that makes the tip look as though it has dropped an illusion has been created rhinoplasty is a complex operation which requires imagination on the part of the
my grandfather 71 years old  was the victim of a medical mistake,the manufacturer of actos is takeda pharmaceuticals if you go to www actos com and click on special offers you will see three different types of programs to help with the cost of the medication you are thinking the right way if she skips her medication she will put herself in greater danger and may end up in the hospital    which would definitely be a bigger bill if you need help on locating these types of programs talk to your pharmacist we are happy to help
my son has recently developed droopy eyelids and occassional slurred speech i am concerned what may be the problem  he is age 27 a psychiatrist has prescribed adderall and zoloft along with ambien over the past months his only official diagnosis is the hyperactive type of adhd i am very concerned about a possible drug interaction or brain tumor,myasthenia gravis especially if it is better in the morning and gets worse as the day progresses it is an autoimmune disorder that causes muscle weakness by blocking your acetylcholine receptors basically you start to lose control of voluntary muscles usually starting with droopy eyes andor slurred speech as someone who has mg i can attest to the fact that it can seem as though you are drunk when your muscles stop doing what you tell them to do it is important to see someone especially since it can start to affect your swallowing or your breathing i do know someone who seems to be controlling it with an anti inflammatory diet but she does not have any generalized symptoms like slurred speech just ocular symptoms
food if i am rushing to eat seems to get “stuck” without a sip of water is it a esophageal disorder,eating under stress causes gastro esophageal reflux and spasm in the esophagus the solution of this problem is chewing well and eating small portions yoga and breathing can help you relax
should i go to the er for severe right earache or wait until monday is appointment  i am 20 on thursday i woke with dull throbbing it has gotten worse i have a 101 f fever i think the throbbing is still there but now my ear canal is so blocked i can not feel anything in the canal but there is still sharp stinging pain in what feels like the back my outer ear is swollen the pain extended to my throat chewing or hiccups feels like my ear is tearing i have almost zero hearing in this ear er or wait,hi simply stopping all carbohydrates intake + chromax pills can fix this also local mizo therapy can help good luck
i am unemployed and can not get insurance i have social anxiety gad and depression how can i get help i can not afford,a lack of insurance and an inability to pay more than a minimal amount should never prevent you from getting the help you need and deserve licensed professionals including psychologists have an ethical responsibility to take a number of pro bono cases this means for little or no fee of course there is a limit to the number of these cases that anyone can take but it is worth asking you can call your local psychologists association explain your situation and ask for the names of psychologists in your area who would be willing to help you you can also check social service agencies as well as any major hospital center because these entities generally have access to mental health providers who require minimal fees hello    in the depression community <link> first and tenth posts we have a list of resources for finding freelow cost medical care including counseling take a look there for some other ideas i am so sorry you are suffering such heartache    susie margaret
3 year olds nose has a bad smell coming fron it,most men shave their face on a daily basis here are a few tips for a more comfortable shave the best time to shave is after you shower the warm water allows the pores to open and also softens facial hair before shaving always apply a shaving cream or shave gel to prepare your skin before shaving using a shave brush natural bristles are best instead of your hands is the best way to apply your shaving cream a shaving brush will help your whiskers to stand up and will result in a closer shave using your hands will actually push the hair down as you shave go with the grain not against it this will help to prevent hair bumps from forming the top layer of skin is exfoliated as you shave therefore it is important to moisturize your skin after you shave this will replace any moisture that was taken away during shaving it is best to use a moisturizer that contains sunscreen to protect your skin from harmful uv rays
can my dog have cogestive heart failure  my 2 12 year old female sheltie will not let me rub her tummy while doing her tricks she can not roll over she has gained weight over the winter but almost 2 pounds in the last week her chest is larger than normal which could be the cause of weight gain we limited treats went from active dog food to light we have limited the amount to 1 12 cups of dry dog food she continues to poop but seems to be more constipated,there can be many reasons but night terrors would be the most likely he may be having vivid dreams so real to him that it can frighten him he may not remember having these dreams but he will wake up some times and need comfort some children can just cry or scream in their sleep without fully waking up some will get out of bed and come to you night terrors can last a while and their may be little that can be done to prevent all of these episodes assuming that the does not have any underlying medical reasons for these awakenings read to him before he goes to bed read a nice story a fun story get his little mind focused on bunnies not scary things be careful what he sees on television including commercials for movies that can be frightening to him try to explain dreams to him it may be difficult at this age but do what you can to encourage sweet dreams a night light may be helpful in his room soft music or white noise waterfall sounds rain sounds babbling brooks are also helpful there are white noise machines that are relatively inexpensive this may help him to rest better before he goes to bed to quiet activities do not chase him around the house and get him all excited these things will pass in time with love and support for more information and other suggestions on dealing with night terrors an internet search will be very fruitful
if 6 year old child has fever over 100 f and tachypnea and tachycardia should he go to er,you have got it backwards whitlock children is heart rates are faster than adults not slower in a 6 year old a rate of up to 130 can be normal and in a newborn less than 100 is too slow i agree the kid should go to the er in this instance but be careful what you post here especially if you tell people you have a medical background they will belive what you say and misinformation can be dangerous
my wife uses 1 pad the entire week she is menstruating is this normal or unhealthy,maybe that depends on the sensitivity of the hair test and the amount and location of the sample taken very tiny amounts of cannabis may not be detected but i have no idea if you have a sufficient amount in your hair follicles to register a positive result be prepared the test could be positive or negative cross your fingers and lay off the weed if you know you may be drug tested
what is causing my extreme fatigue and weightloss  i had a sudden onset of symptoms three months ago i have constant fatigue from the minute i wake up to the minute i go to bed over night i changed from being able to run for miles to struggling to get dressed without needing a lie down struggle falling asleep but fine once asleep body feels weak occasional leg numbness and i get muscle twitches in my legs and feet i originally had lots of palpitations but not so much i feel very spaced out weightloss of almost a stone   any ideas why,hi this may be due to undernourishment the diet she eats needs to be iron rich bone marrow study will confirm and rule out any other cause of anemia consult a hematologist thanks
14 yr old son diagnosed with a staph infection in throat prescribed clindamycin standard need a followup culture,no human papillomavirus hpv causes genital warts in men and women and abnormal growths on the cervix that can advance to cervical cancer vaginal yeast infections are almost all caused by candida a yeast that lives harmlessly in the vagina in many women if there is a disruption of the normal balance of organisms in the vagina most often after taking antibiotics candida can grow excessively causing symptoms of a yeast infection the skin of the vagina becomes irritated often with itching pain with urination or sex and sometimes a thick white discharge ever since i have been diagnosed with high risk hpv and my doctor has been treating the abnormal cells located high up in my vaginal walls the treatment has been causing me yeast infections for 16 weeks i have been using imiquimod 5 cream to treat the cells by applying deep into the vagina 3 times a week then rinsing with a betadine solution once a week and so far that has not worked but i have had non stop yeast infections now on monday tomorrow i start using fluorouracil 5 cream 1 applicator full once a week which is another skin cancer cream normally used topically but i will be using deep in the vaginal walls i am a single woman in my mid forties and this whole thing is so fustrating and just want it to be over and now i am teriffied to date and let things go to another level however while i am being treated i have been told by my doctor not to have any sex so i guess its good that i am not in a relationship right now seriously is there any hope out there because i am so tired of feeling irritated down there
my 6 year old daughter is baby tooth is still in but her adult teeth are growing in now what,it is time to see the dentist your dentist may need to extract the baby tooth to make room for the permanent tooth
can biofeedback detect if i am on birth control pills lutera  i have a doctor in the family wanting to do biofeedback testing on me for hormonal imbalance i have been on birth control lutera for 26 days now and am having a very heavy cycle 9 days long so far heavier than normal no signs of slowing lightheadedness and dizzyness i do not want my family to know i am on lutera will doing hormonal balance checks on biofeedback pick up on this,biofeedback for hormonal imbalance never heard of it sounds a little strange to me there is no way that anyone will know that you are taking birth control pills unless you choose to tell them or they drop out of your purse and someone sees them whatever odd biofeedback test for hormonal imbalance that you are having is unlikely to reveal that you or anyone else is taking oral contraceptives
what should i do if i suspect an overdose of nutracort,hi i recommend lying down in warm water relatively hot for 40 min exactly make sure you dry your body very good afterwards another option in do running in place while leaning forwards with hands on a desk for 5 min nonstop after the 5 min pain will go away however you need to identify the sciatica cause is it piriformis syndrome or back related good luck
what kind of food can i eat after a vires three people in my home had a verse 24 hour stomach now two days has pass what can we eat,no your numbness is caused by something else so please consult your medical provider
my sister has attacks with severe headaches and sudden chills then it ends with shivering like fits,i have chronic rib breakage with alot of calcium build up rib breakage i have is do to alot of past trauma the doctors now are saying not to take too much calcium suplements
my 12th week scan showed everything is o k but radiologist suggested there is caudal regression syndrome,you may be losing inches not just lowering your number on the scale <positive_smiley>
how to get relief from dandruff,the causes of dandruff are any of the following not enough hair brushing and shampooing dry skin seborrheic dermatitis diet without proper nutrition mental stress and allergic reaction to any hair or skin care products the dandruff treatment includes taking care of the above things to not happen medical agents such as pyrithione zinc fungistatic and bacteriostatic property salicylic acid and sulfur plain salicylic acid selenium sulfide and ketoconazole are used to dandruff proper water intake and healthy routine to bed prevent generation of extra heat in the body and dryness of the scalp for further information consult a dermatologist online   > <link>
what is gian berea not sure of peoper spelling my neurologist mumbled that phrase but did not elobarate,those mumbling neurologists this should help <link>
if a child is allergic to milk can he have lactose free milk or lactaid,no  people are allergic to the cow is milk protein lactose is the sugar found in milk so lactose free cow is milk still contains cow is milk protein some people have an intolerance to the milk sugar lactose which can cause gas and bloating but a lactose intolerance does not cause lip swelling hives eczema or any other serious allergic reaction
how often should a baby poop my son rarely does maybe once to twice a week  it concerns me because he is breastfed and 10 months old now,most helpful answer that can be considered normal i tell my patients that a breast fed baby can have a bm eight times a day or once every eight days and still be normal however that 8 day poop will be an all day poop a thon as long as the stool is not stone hard and difficult for him to pass then going twice a week is just fine a ten month old baby should be eating a considerable amount of solid foods now and not relying on just breast milk so hopefully he is eating well and getting extra fluids and some juices i do not know if this will help but i recently went to the hospital for my son is constipation and the doctor told me babies can go up to a week without pooping and it is completely normal i think that is crazy really
surgeon left a broken anchor in me should i be concerned,4 anchors are ideal if your tear was a large one medium tears can be sutured strongly with 3 anchors we need to know the size of the tear that you had before the surgery to comment on the surgical procedure about the broken anchor if its embedded strongly in the bone and is immobile then do not worry only if it loosens it needs attention and subsequent removal
if my sugar level is at 300 and not taking medication what can i do,it appears that you do need medication or insulin since you appear to have diabetes you need to see your medical provider or a diabetic specialist and get this into control you will also need to follow a diabetic diet
bad migraine for 4 days now been to er doc said he was not worried about it being anything serious still worried help  slightly relieved by tylenol but then returns feel constantly tired and stressed out worried about what is going on i just need some advice on what i should do,hi low rbcs and anemia cause low oxygen supply to the tissues due to diminished oxygen carrying capacity starting hematinic iron supplements will help you recover from these complaints thanks
i am suffering from hair follicle infection folliculitis n seborrhoa,hi i recommend taking a culture to check for antibiotics sensitivity
i have or think i have shingles when should i contact my doctor,hi i would not think so but one could have got reconnected so go get a blood test done its the only real way your find out but your find a lot of women can lactate by squeezing there nipples its something breasts can do without being pregnant ok good luck
i use antibacterial toothpaste and i have noticed that it contains triclosan,triclosan is an antibacterial agent it is used in many consumer products including toothpaste where it acts to prevent gingivitis it has been tested and is not dangerous
can supplements help lower cholesterol like red yeast rice or niacin  i do not want to take any more drugs if i do not have i take meds for high blood pressure and diabetes,store in a tightly closed container at room temperature between 59 86 degrees f 15 30 degrees c away from light and moisture do not store in the bathroom do not freeze liquid forms of this medication keep all medicines away from children and pets do not flush medications down the toilet or pour them into a drain unless instructed to do so properly discard this product when it is expired or no longer needed consult your pharmacist or local waste disposal company for more details about how to safely discard your product
found thyroid nodule is cnb the correct method to determine if benign or malignant,no chlamydia is spread only through sexual intercourse
is depression common with psoriatic arthritis,depression is common with chronic pain people with chronic pain often become very depressed and withdrawn    so much so that they spend more time away from other people instead of focusing on their personal lives or the lives of their loved ones they become increasingly focused on their pain and suffering which is very real the many appointments with health care providers to try to find relief combined with the cost of these attempts add to the frustration of chronic pain common signs of depression may include disturbances in sleep patterns loss of interest in usual activities weight loss or gain 5 of body weight fatigue impaired thinking thoughts of dying or suicide depressed thoughts or irritability mood swings staying at home all the time avoidance of special friends difficulty concentrating difficulty getting out of bed feelings of worthlessness or excessive or inappropriate guilt agitation or in contrast a general slowing of intentional bodily activity if you have any of these signs talk with your doctor about depression diagnosis and treatment often depression is temporary if needed there are many excellent depression medications and other forms of therapy that may help greatly
can an asthma attack cause petechiae of the eye,are you sure it is a petechiae in your eye and not a tiny subconjunctival hemorrhage hard coughing common in uncontrolled asthma can cause an innocent capillary rupturehemorrhage in the conjunctiva but not really true petechiae these occur on skin surfaces
what is wrong with my digestive track please help me it is beginning to ruin my life for the last 2 months i have been converting my life to one that does not involve heavy alcohol use or smoking however before all this started i frequently drank while on adderall xanax and accutane now i have been having frequent gas issues while sitting and laying that keep me up at night and have been causing me to be depressed and anxious about my health i keep telling myself its an early stage of colon cancer or something like that i have also had spasms in my lower pelvic region,people who have had any of the following procedures may be at risk for developing lymphedema simple mastectomy in combination with axillary arm pit lymph node removal lumpectomy in combination with axillary lymph node removal modified radical mastectomy in combination with axillary lymph node removal combined cancer surgery and radiation therapy to a lymph node region such as the neck armpit groin pelvis or abdomen radiation therapy to a lymph node region lymphedema can occur within a few days months or years after surgery a small amount of swelling is normal for the first four to six weeks after surgery
twenty years old with shingles  i am only twenty years old and i have been diagnosed with shingles i feel like its spreading fast i am really worried and im not really sure what to do the doctor was really short with me and said theres nothing to do but let it take its course if anyone could help me out that would be great   thanks,the fear is that you may vomit stomach contents and aspirate during anesthesia this could be very serious
why is that i recently fell at work went to er for eval and i have a pre existing condition wc will not treat tumor my ortho dr knows about this was examined by dr prior to fall now will not see me for this pre existing condition i am now is severe pain due to fall what do i do,4 anchors are ideal if your tear was a large one medium tears can be sutured strongly with 3 anchors we need to know the size of the tear that you had before the surgery to comment on the surgical procedure about the broken anchor if its embedded strongly in the bone and is immobile then do not worry only if it loosens it needs attention and subsequent removal
i have been getting these little red bumps over all of my body,good for you for taking control of the situation and heading to the gym taking that first step is always the hardest it is very frustrating when you do not see immediate results    or in fact see results that are the opposite of what you expected what you need to realize is it is going to take some time for your body to adjust to this new exercise routine one week is not enough time for your body to adapt right now your body is kind of going what the heck is this all about  once your body gets used to all this new activity it will start behaving like a well oiled machine that is when you will see the pounds start to come off hang in there and be patient there is no set timetable for how pounds come off also be aware if you created a line graph of weight loss in most people it would look like a gentle wave most people lose a little gain a little back lose a little more this is perfectly normal also going from no exercise to 1 5 hours a day is a very abrupt change you might want to check with your health care provider to make sure this is safe for you and your heart wishing you all the best
i have had left ovarian vein thrombosis extending into left renal vein is embolization appropriate,hi this procedure can dislodge micro emboli from the thromosed part that may get stuck up in minor venules and cause chest pain and similar symptoms get a chest xray and ecg done consult a physician
my mother has fibroid gynecologist suggested removal of vagina need second opinion,i recommend hystrectomy as this is a life threatening condition regarding the excess drinking of water i suggest to start by doing her random blood sugar is there increase in the frequency also she needs tonics – iron supplements  hope she gets better v soon
i am having a medical problem that has not been solved as of yet,himost scalp cysts are not dangerous and are benign if your lump is getting bigger then you should see a dermatologist for being assured it is just benign and harmless
is having a blood pressure at 133 over 82 bad,you have a good blood pressure
how is lymphedema treated,lymphedema treatments vary depending on the stage and cause of the illness the most important aspect of treatment is learning how to care for your health your doctor or nurse will teach you and your family how to follow your prescribed treatment if the initial signs and symptoms of swelling are caused by infection antibiotics may be prescribed other treatments may include bandaging proper skin care and diet compression garments exercises and manual lymphatic drainage a gentle form of skin stretchingmassage
can you take zoloft 50mg if you have sleep apnea,hi you should specify your symptoms more details please what other symptoms you have did you lose weight or did the lump increase in size what its color is and how does it feel have you did self breast lymph nodes palpation
i am on medicaid because of a back disability i am 56 waiting on surgury almost a year health is worse cigna wont pay how do i get medicaid to help me still waiting for approval from cigna meantime have to take morphine to help with pain i am worse no one to help,this disease occurs when genes from animal influenza viruses mix with human flu viruses for example the new virus responsible for the swine flu h1n1 is believed to be a mix of pig bird avian and human flu viruses hybrid flu viruses have caused pandemics twice in the past in 1957 and 1968
what is an icsi intracytoplasmic sperm injection,intracytoplasmic sperm injection icsi is a laboratory procedure in which sperm and eggs are retrieved from both partners a single sperm is injected directly into an egg then the fertilized egg is implanted into the woman is uterus
i recently had my tattoo removal surgery for 4th session is it hypertropic scar or keloid,hi found you this info do hope it helps all the way down to sorry your see why the normal volume varies from 1 5 to 5 0 milliliters per ejaculation 9or the loving spoonful or 10cc should ring a bell the sperm count varies from 20 to 150 million sperm per milliliter that means each time you ejaculate you put out tens of millions of sperm in one teaspoonful  see the loving spoonful it only takes one sperm to fertilize one egg for a pregnancy at least 60 of the sperm should show normal forward movement motility you had 30 some factors which can reduce the percentage include alcohol tobacco drugs and time by time i mean the longer the sample of semen sits before it is analyzed the more the percentage will go down so my first question to you and the lab is did the lab do the motility analysis in the short time without waiting too long a repeat analysis of another very fresh sample may give you a much higher percent even so you have more than enough motility now for successful pregnancy when you marry normal value ranges may vary slightly among different laboratories talk to your doctor about the meaning of your specific test results several factors reduce sperm motility exposure to heat possibly through the presence of a varicocele while sperm mature in the epididymis can damage sperm hindering their motility long periods of sexual inactivity can also adversely prevent motility studies have shown that poor motility is seen in the first ejaculate after a prolonged period of sexual inactivity whereas sperm motility improves in the following ejaculate reproductive health care providers can perform several procedures to improve sperm motility several products on the market claim to increase sperm motility some claim to provide proteins or enzymes needed for sperm to become healthy  while some products are currently being tested no products have approval from the u s food and drug administration fda as of yet sorry for the humour so your 30 so your half way there but getting pregnant is all down to timing yes so your wifes cycle day one first day of her period day 14 give or take a day is ovulation day yes the day her egg drops now you need to have sex around 4 to 5 days before it takes 3 days for your sperm to get in place so by doing that your sperm is there just waiting for her egg and your sperm will live to 5 to 10 days depending where you read if all goes well on day 21 she should get some spotting if so this means the fertilised egg has buried itself in her womb if she then miss is her next period she then gets tested if all goes to plan you should end up with a baby do hope this helps you good luck ps just try this first but do not forget having
can quiting smoking cause joint pain i recently quit smoking and since i have quit i noticed that i am having leg pain and pain in my joints such as my ankles elbows fingers could this be related to my quitting,i would love to know this as well i have both a very low ige as well as am pge2 deficient they do not play nicely together and the only way i have been told there are infusionsintravenous immunoglobulin therapy one can take to help but i guess that would depend upon how badly your body is in need of this i merely take a lot of benadryl and sadly always have to have prednisone on hand for when the flare ups get too bad sadly most of the current research is to lower ige not raise it
are there natural ways to help firm up the skin on my face for a more youthful look,there are nerves all over your body you may just have nerves twitching in you abdomen that mimics the feeling of a baby flutter or could just be gas if it does not stop go to your pcp nothing serious though
can b12 vitamins raise lab results b12 lab results are1241 can taking 1000 mcg of sublingual b12 each day raise lab results,i am sorry you are going through this and it is good of you to be concerned for the health and safety of others in your household yes as you know handwashing is key to preventing the spread of gastroenteritis equally important is knowing when to wash always wash after you have gone to the bathroom before you prepare any foods even if it is only for your own consumption use proper handwashing technique which consists of start warm water running get your hands wet apply antibacterial soap work up a good lather all the way to your wrist rinse thoroughly this is absolutely key  dry thoroughly hold a towel or paper towel to turn off the water faucet also everyone in your household should be performing frequent handwashing not just you other ways to help protect your family members if possible do not prepare any food for the others in your household do not share utensils spoon fork towels toothbrushes the tv remote control or anything you touch without disinfecting it first keep food preparation areas as clean as possible you can use disinfecting wipes from the store to keep surfaces germ free best of luck to you
how can one increase probability of getting twins,you have either of those possibilities 1 chondromalacia patellae which is early arthritis of the patellofemoral joint which can be felt as continuous crepititions with flexion or extension 2 meniscial injury if the clicking is one click in the range of motion from flexion to extension or vise versa get a normal xray done and mri of knee if the case is the second one physiotherapy is going to help you regain your strength and stability
what are the fitness benefits of aerobic exercise,it is important to eat nutritious and well balanced meals throughout your pregnancy you will need to increase your intake of certain vitamins and minerals including iron calcium and folic acid also it is generally recommended that women consume between 100 and 300 calories more per day while pregnant try to limit the amount of sweets and junk food you eat as they offer mostly empty calories with little to no nutritional value i read somewhere that brain development is key in the 3rd tri  so try to get omega 3s with limits on fish intake i am trying buy omega 3 enhanced eggs and milk but i am also eating low mercury fish like shrimp a few times  week
what is a rotator cuff tear,hi this can possibly happen due to auto immune response inside your body get detailed blood investigations done pcrrna test will help confirm the diagnosis thanks
query about taking statins dear webmd i am 46 little over weight but a good exerciser and total vegetarian even than my cholestrol remains high my doctor prescribed lipirex 10 mg per day usually around one week my values come down well within normal after that i usually stop medication on my own on rechecking after about a month the values are back to high again do i have to take the medication for life i have no heart disease but a strong family history of heart disease  thanks faisal,it depends if it is caused by your diet or if it is hereditary if it is due to what you eat then if you start eating healthy and keep eating healthy then you can possible stop taking your meds but sometimes it is hereditary in this case more than likely you will have to take your meds all you life
when a prescription says take with meals  is that during the meal or after the meal,i think they generally do and unfortunately men handle it in a way that is counter productive we have noticed that more men will begin to drink alcohol excessively and that is probably because they want to be seen as strong and if they go to a doctor for any kind of help with this it will mean that they are not men so better to drink and try to drink your troubles away than to try and get some help women on the other hand will say look if i am this stressed i have got to go get some help we know that more women enter therapy than man that has always been as long as i can remember and they have been keeping statistics that women are willing to talk to others and to try to come to terms with how do i cope with this how can i change this what am i missing they will talk about their problems men will talk about the baseball scores they will not talk about their problems that is why the statistics are skewed probably that they say that women have more anxiety and depression than men no it is because more women show up at the office and get counted and men do not get counted if we went into bars and started doing some kind of research i would wonder before they took their first drink how would they register on stress measures on anxiety depression measures and i think we would find a rather dramatic shift you know what is stopping them what is so unmanly about getting help when you need it if you have hypertension and you are a man you go and get help is that unmanly no if you have anxiety and stress that is causing you serious problems and can end up in a heart attack is that unmanly or should you go and get some help just the way you got with your hypertension remember these kinds of illnesses are just as important and can have as catastrophic results as the medical illnesses that you have accepted all these years
i have a freckle the size of a pencil eraser it is round and recently changed colors on the outer edge should i worry,in my opinion you have lumber disc prolapse avoid sitting completely i advice you to bed rest in hip knee 90 degree flextion for 1 week you should have a ct scan to confirm accordingly bed rest will be followed by physical therapy which should fix you without the need of surgery good luck
i have pain throughout my body i do not know what it is,u need a detailed rheumatological examination and to do some blood tests like cbc crp ana …etc
i am sure i have strep throat i am allergic to penicillins and i think i am getting better do i really need meds  on tuesday afternoon i had a tickle in my throat win 3 hours i had a severe sore throat a fever no energy and swollen nodes the next day i had white patches on my tonsils but today there is only 1 tiny one left i have not had a fever for a day and half i have more energy and feel a little better do i really need antibiotics i am allergic to penicillin anyway if it seems like i am fighting it off i know there can be complications but they are rare and i do not think i am an at risk person,yes your symptoms could have been an allergic response not all allergic responses have breathing difficulties but most will have some degree of itching or hives symptoms you did not mention a swollen throat that suddenly came on after eating something certainly is suspicious of an allergic reaction a bacterial disease especially one that would require an antibiotic would typically not come on this sudden oral steroids can counteract an allergic reaction so perhaps that helped you
what causes bleeding in the first trimester of pregnancy,about 20 of women have some bleeding during the first 12 weeks of pregnancy possible causes of first trimester bleeding include implantation bleeding you may experience some normal spotting within the first six to 12 days after you conceive as the fertilized egg implants itself in the lining of the uterus some women do not realize they are pregnant because they mistake this bleeding for a light period usually the bleeding is very light and lasts from a few hours to a few days miscarriage because miscarriage is most common during the first 12 weeks of pregnancy it tends to be one of the biggest concerns with first trimester bleeding about half of women who bleed in pregnancy eventually miscarry but that does not necessarily mean that if you are bleeding you have lost the baby especially if you do not have any other symptoms other symptoms of miscarriage are strong cramps in the lower abdomen and tissue passing through the vagina ectopic pregnancy in an ectopic pregnancy the fertilized embryo implants outside of the uterus usually in the fallopian tube if the embryo keeps growing it can cause the fallopian tube to burst which can be life threatening to the mother although ectopic pregnancy is potentially dangerous it only occurs in about 2 of pregnancies other symptoms of ectopic pregnancy are strong cramps or pain in the lower abdomen and lightheadedness molar pregnancy also called gestational trophoblastic disease this is a very rare condition in which abnormal tissue grows inside the uterus instead of a baby in rare cases the tissue is cancerous and can spread to other parts of the body other symptoms of molar pregnancy are severe nausea and vomiting and rapid enlargement of the uterus additional causes of bleeding in early pregnancy include cervical changes during pregnancy extra blood flows to the cervix intercourse or a pap test which cause contact with the cervix can trigger bleeding this type of bleeding is not cause for concern infection any infection of the cervix vagina or a sexually transmitted infection such as chlamydia gonorrhea or herpes can cause bleeding in the first trimester
